Epoch 45 | Train Loss: 0.0942 | Val Loss: 0.0625 | Val Dice: 0.8805 | Val IoU: 0.7890 | Learning Rate: 0.001
Epoch 46 | Train Loss: 0.0883 | Val Loss: 0.0580 | Val Dice: 0.9060 | Val IoU: 0.8295 | Learning Rate: 0.001
Epoch 47 | Train Loss: 0.0889 | Val Loss: 0.0627 | Val Dice: 0.8329 | Val IoU: 0.7142 | Learning Rate: 0.001
Epoch 48 | Train Loss: 0.0760 | Val Loss: 0.0594 | Val Dice: 0.8264 | Val IoU: 0.7091 | Learning Rate: 0.001
Epoch 49 | Train Loss: 0.0844 | Val Loss: 0.1419 | Val Dice: 0.8266 | Val IoU: 0.7104 | Learning Rate: 0.001
Epoch 50 | Train Loss: 0.0842 | Val Loss: 0.0720 | Val Dice: 0.7192 | Val IoU: 0.5889 | Learning Rate: 0.001
Epoch 51 | Train Loss: 0.0811 | Val Loss: 0.0865 | Val Dice: 0.8995 | Val IoU: 0.8185 | Learning Rate: 0.001
Epoch 52 | Train Loss: 0.0723 | Val Loss: 0.0585 | Val Dice: 0.8515 | Val IoU: 0.7510 | Learning Rate: 0.001
Epoch 53 | Train Loss: 0.0737 | Val Loss: 0.0656 | Val Dice: 0.8238 | Val IoU: 0.7209 | Learning Rate: 0.001
Epoch 54 | Train Loss: 0.0799 | Val Loss: 0.0686 | Val Dice: 0.7507 | Val IoU: 0.6099 | Learning Rate: 0.001
Epoch 55 | Train Loss: 0.0667 | Val Loss: 0.0541 | Val Dice: 0.8883 | Val IoU: 0.8019 | Learning Rate: 0.001
Epoch 56 | Train Loss: 0.0669 | Val Loss: 0.0461 | Val Dice: 0.9270 | Val IoU: 0.8648 | Learning Rate: 0.001
Epoch 57 | Train Loss: 0.0759 | Val Loss: 0.0762 | Val Dice: 0.8343 | Val IoU: 0.7183 | Learning Rate: 0.001
Epoch 58 | Train Loss: 0.0726 | Val Loss: 0.0546 | Val Dice: 0.9246 | Val IoU: 0.8605 | Learning Rate: 0.001
Epoch 59 | Train Loss: 0.0699 | Val Loss: 0.0454 | Val Dice: 0.9192 | Val IoU: 0.8515 | Learning Rate: 0.001
Epoch 60 | Train Loss: 0.0731 | Val Loss: 0.0636 | Val Dice: 0.9114 | Val IoU: 0.8384 | Learning Rate: 0.001
Epoch 61 | Train Loss: 0.0640 | Val Loss: 0.0443 | Val Dice: 0.9237 | Val IoU: 0.8591 | Learning Rate: 0.001
Epoch 62 | Train Loss: 0.0808 | Val Loss: 0.0631 | Val Dice: 0.8769 | Val IoU: 0.7834 | Learning Rate: 0.001
Epoch 63 | Train Loss: 0.0695 | Val Loss: 0.0592 | Val Dice: 0.9051 | Val IoU: 0.8275 | Learning Rate: 0.001
Epoch 64 | Train Loss: 0.0894 | Val Loss: 0.0679 | Val Dice: 0.8178 | Val IoU: 0.7173 | Learning Rate: 0.001
Epoch 65 | Train Loss: 0.0716 | Val Loss: 0.0570 | Val Dice: 0.9174 | Val IoU: 0.8482 | Learning Rate: 0.001
Epoch 66 | Train Loss: 0.0846 | Val Loss: 0.0671 | Val Dice: 0.9172 | Val IoU: 0.8477 | Learning Rate: 0.001
Epoch 67 | Train Loss: 0.0708 | Val Loss: 0.0491 | Val Dice: 0.8981 | Val IoU: 0.8182 | Learning Rate: 0.0005
Epoch 68 | Train Loss: 0.0543 | Val Loss: 0.0434 | Val Dice: 0.9283 | Val IoU: 0.8671 | Learning Rate: 0.0005
Epoch 69 | Train Loss: 0.0623 | Val Loss: 0.0584 | Val Dice: 0.8148 | Val IoU: 0.6936 | Learning Rate: 0.0005
Epoch 70 | Train Loss: 0.0548 | Val Loss: 0.0390 | Val Dice: 0.9176 | Val IoU: 0.8485 | Learning Rate: 0.0005
Epoch 71 | Train Loss: 0.0572 | Val Loss: 0.0472 | Val Dice: 0.9299 | Val IoU: 0.8698 | Learning Rate: 0.0005
Epoch 72 | Train Loss: 0.0641 | Val Loss: 0.0572 | Val Dice: 0.9217 | Val IoU: 0.8558 | Learning Rate: 0.0005
Epoch 73 | Train Loss: 0.0567 | Val Loss: 0.0443 | Val Dice: 0.9322 | Val IoU: 0.8737 | Learning Rate: 0.0005
Epoch 74 | Train Loss: 0.0530 | Val Loss: 0.0422 | Val Dice: 0.9328 | Val IoU: 0.8746 | Learning Rate: 0.0005
